Vmag,Plx,e_Plx,B-V,SpType,Amag,target
7.79,3.44,0.71,0.092,A2V,15.47279221285765,0.0
7.8,4.86,0.65,0.014,A0V,16.23318134631147,0.0
5.0,4.28,0.54,-0.095,B8:IV,13.15721884506586,0.0
4.42,6.1,0.88,-0.164,B3IV,13.346649175053836,0.0
8.09,9.31,0.67,0.74,G6V,17.934748404906713,0.0
7.73,0.85,1.34,0.202,B1V,12.377094628571463,0.0
8.07,6.55,0.78,0.833,G8IV,17.151206499958917,0.0
8.33,3.38,1.02,1.724,M1III,15.974583501388274,1.0
7.18,4.1,0.65,1.221,K1III,15.243919283598677,1.0
5.28,4.59,0.66,1.661,M1III,13.589063427686305,1.0
11.94,3.3,2.49,0.54,A5III,19.532569699389438,1.0
6.76,9.01,0.53,0.317,F0V,16.53362395489531,0.0
9.25,4.46,0.81,0.518,F6V,17.49667429356071,0.0
8.97,28.92,1.31,0.867,K2V,21.275991443112467,0.0
5.5,12.48,0.49,0.007,A0V,15.981072926732026,0.0
8.6,5.46,1.12,0.4,F2V,17.285963213523686,0.0
8.31,4.73,1.12,0.1,A1/A2V,16.684305703689056,0.0
7.68,3.49,0.6,0.978,G8/K0III + F,15.394127134795898,1.0
7.68,6.54,1.14,0.939,G5IV,16.757888741621336,0.0
8.02,22.46,1.12,0.626,G0V,19.777048759627196,0.0
7.2,6.74,0.55,0.313,F0IV,16.3432994826766,0.0
9.06,0.92,0.83,1.275,K1III:,13.878939136727777,1.0
6.95,21.83,0.88,0.467,F5V,18.645268678545698,0.0
7.52,9.82,1.25,0.5,A2V+...,17.480557438934746,0.0
8.21,3.86,0.95,-0.003,A0V,16.142936523358777,0.0
9.67,7.71,0.87,0.6,G0V:,19.105271890254784,0.0
8.83,12.75,0.82,0.556,F7V,19.35755092384987,0.0
9.03,5.31,0.77,0.126,A0/A1V,17.655472605407347,0.0
8.21,10.99,0.65,0.593,F7V,18.414988462117453,0.0
8.67,9.8,0.71,0.689,G2V,18.626130378462474,0.0
8.9,9.86,0.85,0.957,K0V,18.869384574706057,0.0
8.2,2.24,0.67,1.161,K1/2III(p),14.951240091670813,1.0
8.12,1.67,1.58,-0.006,B2.5V,14.233582355737916,0.0
7.91,5.84,1.01,0.094,A2IV/V,16.742064235561998,0.0
9.21,2.39,0.85,1.509,K3/K4III,16.10198950474069,1.0
6.34,8.5,0.79,1.044,G9III,15.987094628571464,1.0
8.12,0.38,1.04,0.013,B1V,11.01891798308405,0.0
8.77,1.52,1.92,-0.052,B2V,14.679217939723863,0.0
8.12,3.62,0.75,0.877,G6III,15.913542852665827,1.0
6.93,2.66,1.6,-0.1,B1V,14.054408183155335,0.0
8.68,2.64,0.75,-0.062,B8IV,15.788019634349155,0.0
5.06,11.78,0.48,-0.072,B8V,15.415726452255413,0.0
7.49,2.28,0.58,-0.062,B7V,14.279674235002268,0.0
6.55,1.83,0.82,-0.065,B9V,12.862255448652148,0.0
7.94,4.29,0.62,1.017,K0III,16.102286460923622,1.0
7.97,11.91,0.97,0.536,F8/G0V,18.34955880741389,0.0
8.02,10.25,0.68,0.453,F3V,18.073619326958863,0.0
8.64,1.01,0.75,0.731,G3V,13.661606868913214,0.0
9.22,0.56,1.95,0.129,B8/B9III,12.960940135031002,1.0
8.18,0.74,1.23,0.062,B2V,12.526158598654881,0.0
8.0,6.45,0.7,0.113,A0V,17.047798573176337,0.0
5.49,12.77,0.7,-0.01,A0V,16.020954486317077,0.0
5.7,5.35,1.22,0.067,A3Vn,14.341768910106143,0.0
7.61,4.29,0.58,-0.015,B9IV/V,15.77228646092362,0.0
8.37,3.31,0.8,0.981,K1III,15.969139968878594,1.0
7.43,3.91,0.63,0.176,A1III/IV,15.390883786979334,1.0
7.68,2.79,1.01,-0.028,B8V,14.908021016367988,0.0
7.45,8.14,1.08,0.313,F0III/IV,17.003122024446007,1.0
8.68,3.55,0.74,1.493,K3/K4III,16.43114176527547,1.0
7.39,8.81,0.84,0.291,F0IV,17.11487954206024,0.0
8.73,0.52,1.11,0.062,A0/A1V,12.310016718173998,0.0
6.36,7.96,0.71,-0.04,B9Vn...,15.864565338688344,0.0
7.76,2.5,0.97,1.605,K5III,14.749700043360187,1.0
9.1,10.17,0.83,0.682,G5V,19.136604764613722,0.0
7.84,6.05,1.2,1.216,K0III,16.748776873262344,1.0
6.48,16.63,0.52,0.502,F8V,17.584461246097597,0.0
8.41,12.89,1.34,0.538,F7V,18.961264586767015,0.0
8.47,4.57,1.65,0.44,F2IV,16.769581000349255,0.0
9.43,5.75,0.95,0.477,F3/F5V,18.228339223448152,0.0
9.19,3.48,1.23,0.045,B9:V:,16.897896219732903,0.0
7.51,13.83,0.64,0.657,G6:III/IV+.,18.21411090054655,1.0
8.37,0.88,0.91,-0.036,A0V,13.092413360750843,0.0
8.92,2.83,1.23,-0.037,B9V,16.17893217762145,0.0
5.93,0.53,0.94,1.626,K4III,9.551379348003945,1.0
9.07,2.46,0.84,0.965,G8III,16.024675535516895,1.0
8.24,10.11,1.07,0.548,F7V,18.263755777955005,0.0
8.55,2.42,1.25,0.267,B0V,15.469076829902157,0.0
9.11,4.24,1.19,0.141,A2IV/V,17.246829282963663,0.0
5.56,15.35,0.7,1.15,K2III,16.490541899066027,1.0
8.41,0.57,0.97,1.51,K2/K3III,12.189374278362457,1.0
6.16,16.39,0.87,0.352,F3IVw,17.232894767852496,0.0
7.98,2.3,0.6,-0.161,B4V,14.788639180087966,0.0
8.44,2.45,0.99,0.139,A3V,15.385830421822662,0.0
7.28,14.36,0.59,0.483,F5V,18.06577219953141,0.0
7.41,2.25,0.92,1.245,K2/K3III,14.170912590556814,1.0
8.68,2.26,0.81,1.288,K1III:,15.450542195737004,1.0
8.51,6.56,0.69,0.409,F3V,17.594519196878302,0.0
8.08,3.72,0.9,1.074,K0III,15.932714699409487,1.0
7.72,5.44,0.95,1.225,K2IIICNII,16.3979944984909,1.0
6.27,7.49,0.62,1.01,G8/K0III,15.642409088497333,1.0
5.71,18.48,0.74,0.454,F5V,17.04350983442044,0.0
7.66,19.82,1.32,0.568,G0V,19.145518250746285,0.0
9.56,9.36,1.02,0.76,G6V,19.41637924369053,0.0
5.35,9.34,0.69,1.096,G8III,15.201734381150466,1.0
8.48,22.18,1.41,0.67,G2V,20.209807709065707,0.0
8.49,4.98,0.69,0.463,F2/F3V,16.976146713798588,0.0
8.73,3.75,0.76,1.201,K2/K3III,16.600156338638595,1.0
8.96,9.66,0.9,0.526,F7V,18.88488563207747,0.0
7.49,2.56,0.74,-0.104,B7/B8IV,14.531199826559249,0.0
8.77,1.25,0.78,1.267,K1III,14.25455006504028,1.0
5.54,3.82,0.51,1.665,M2II/III,13.450316814558544,1.0
9.06,0.81,1.26,1.593,K2/K3III:,13.602425094393249,1.0
8.95,5.04,0.89,0.558,G0V,17.462152682227625,0.0
8.87,3.54,1.24,1.324,K1III,16.615016310128937,1.0
5.08,98.54,0.45,0.714,G5V,20.048062789694452,0.0
8.9,11.27,0.84,0.575,G0V,19.159619580230533,0.0
7.74,5.64,1.01,1.074,G7III,16.49639551991671,1.0
6.9,3.99,0.77,-0.076,B8V,14.904864478433742,0.0
4.72,1.97,0.5,-0.229,B0.5IV,11.192331130807965,0.0
8.02,1.76,1.08,1.269,K1/K2III,14.24756333907075,1.0
6.83,4.13,0.55,0.028,A1V,14.909750258282006,0.0
7.65,10.15,0.63,0.488,F5/F6IV/V,17.68233021124616,0.0
8.99,1.52,0.85,1.034,K0III,14.899217939723863,1.0
9.29,0.09,1.46,0.611,F6V,9.061212547196623,0.0
6.65,6.35,0.65,0.775,G6:III+...,15.663868626459879,1.0
5.72,9.84,0.58,1.072,K1III,15.684975492156706,1.0
8.15,173.19,1.12,1.487,M1/M2V,24.342614061091467,0.0
7.69,3.66,0.59,1.418,K3III,15.507405426972053,1.0
8.68,8.05,1.24,0.53,F7V,18.208979401839343,0.0
6.28,4.92,0.5,-0.012,A0V,14.739825513836802,0.0
8.99,1.89,0.92,1.434,K2/K3III:,15.37230902086622,1.0
8.2,4.37,1.39,-0.1,B9V,16.40240718485211,0.0
6.93,1.18,1.01,-0.004,B1III,12.289410036530626,1.0
8.03,10.25,0.63,0.451,F3V,18.083619326958864,0.0
8.55,3.47,0.75,1.017,G8III/IV,16.25164737395437,1.0
7.45,13.39,0.59,0.385,F0III/IV,18.083902885060045,1.0
7.14,4.78,0.84,0.988,K0III,15.537139483060592,1.0
8.44,0.64,0.88,-0.067,B1Vn...,12.470899869919435,0.0
7.46,1.68,1.0,-0.059,B2V,13.586546408629314,0.0
7.66,3.67,0.79,1.253,K0III,15.483330321260446,1.0
8.8,23.58,1.09,0.995,K3V,20.662719003795353,0.0
9.15,2.54,0.82,1.347,K2/K3III,16.174168583099693,1.0
8.06,2.99,0.7,-0.023,B9IV/V,15.438355941622149,0.0
8.82,3.9,0.95,0.651,G1V,16.775323035132494,0.0
8.4,3.07,0.85,0.013,A0V,15.835691877385933,0.0
6.08,4.83,0.61,-0.021,B9.5IV/V,14.499735653757561,0.0
8.5,1.44,0.71,1.715,M0III,14.291812460476248,1.0
8.92,10.38,0.81,0.623,G2/G3V,19.000986767562196,0.0
5.01,4.86,0.48,1.599,M2.5III,13.443181346311468,1.0
7.22,2.75,0.64,1.241,K2/K3IIICN.,14.416663469151313,1.0
7.36,3.45,0.66,1.163,K0III,15.049095475366371,1.0
8.15,1.55,1.16,1.345,K2II/III,14.101658490851458,1.0
7.97,6.73,0.66,0.312,A9III,17.110075321119883,1.0
8.39,9.75,0.68,0.334,F0IV/V,18.335023078492682,0.0
8.19,1.22,1.92,0.105,A0V,13.62179915337374,0.0
8.55,3.7,0.81,0.412,F5III,16.391008620334976,1.0
7.4,7.67,0.75,0.101,A2/A3V,16.823976819744907,0.0
6.04,7.58,0.82,0.021,A0Vnn,15.438346028160268,0.0
9.31,25.91,0.95,0.943,K2V,21.377337064929122,0.0
8.08,2.76,0.88,-0.083,B9IV,15.28454541032609,0.0
5.83,4.33,0.83,1.11,K0III,14.012439481766828,1.0
9.13,5.65,1.0,0.456,F2V,17.890242239097194,0.0
8.15,4.61,0.67,0.917,G6III,16.468504626948242,1.0
8.62,2.54,1.09,-0.127,B3V,15.64416858309969,0.0
5.78,10.49,0.96,0.1,A3V+...,15.88387744096779,0.0
7.66,12.41,1.17,0.43,F3V,18.12885890749365,0.0
8.84,13.7,1.16,0.617,G1V,19.523602835782032,0.0
7.93,10.75,1.0,0.35,F2V,18.08704232125812,0.0
8.81,8.21,0.82,0.476,F5V,18.3817157855972,0.0
7.75,3.18,0.86,1.237,K1III,15.262135599922162,1.0
6.6,5.2,0.71,0.99,K0III,15.180016718173995,1.0
8.8,2.35,0.77,1.051,K0III,15.655339311358683,1.0
8.68,2.18,1.33,-0.3,G8/K0III+..,15.372282468023023,1.0
8.96,3.46,1.15,1.607,K2/K3III,16.655380493963882,1.0
8.91,2.8,0.76,1.12,K2III,16.145790156711097,1.0
8.63,1.19,1.04,0.098,A2V,14.007734806962656,0.0
8.23,2.4,0.72,1.476,K4III,15.13105620855803,1.0
5.06,2.71,0.75,-0.201,B2V,12.224846454372027,0.0
7.87,5.12,0.63,0.05,A1IV,16.416349804879154,0.0
8.16,1.8,1.18,-0.035,B5III,14.43636252551653,1.0
4.45,5.14,0.78,-0.18,B3IV,13.004815594976378,0.0
7.33,5.08,0.54,0.953,G5III/IV,15.859318561419597,1.0
8.22,3.02,1.17,-0.031,B9.5V,15.620034714785753,0.0
7.04,1.11,1.5,-0.101,B1V,12.266614893933287,0.0
8.98,9.77,1.66,0.686,G5V:,18.929472818593865,0.0
6.85,43.26,0.87,0.642,G4V,20.030432575515363,0.0
5.76,3.36,0.93,-0.071,B9.5V,13.39169638694922,0.0
4.95,4.21,1.26,-0.149,B5Vn,13.07141047917834,0.0
7.28,3.68,1.06,1.297,K2III,15.109239093367588,1.0
6.85,16.49,1.46,0.481,F6V,17.93610327822259,0.0
9.49,13.21,1.82,0.836,K0V,20.094514088072636,0.0
8.6,23.42,6.63,0.54,F7IV,20.447934453681718,0.0
9.17,5.19,1.05,0.651,G5V,17.74583678924229,0.0
7.49,2.89,1.07,-0.062,B2V,14.79448921378274,0.0
8.01,2.65,0.69,1.458,K4III,15.12622936968404,1.0
7.51,8.89,1.45,0.368,F0V+...,17.25450880485107,0.0
5.78,2.31,1.0,1.646,M1III,12.598059899460722,1.0
8.95,2.82,1.23,1.382,K2V,16.201245541596805,0.0
8.78,2.45,0.91,1.16,K5/M0III,15.725830421822662,1.0
6.88,1.64,0.59,-0.149,B3Vn,12.95421924023849,0.0
7.56,3.55,0.92,0.0,B9.5III,15.31114176527547,1.0
7.44,10.56,0.82,0.5,F5V,17.55831959098897,0.0
7.79,10.43,0.62,0.409,F3V,17.881421542132653,0.0
6.59,4.31,0.78,-0.066,B9.5V,14.762386350803657,0.0
9.04,5.14,1.15,0.109,A3V,17.594815594976378,0.0
8.27,3.15,0.97,-0.03,A0V,15.761552768948002,0.0
8.32,7.15,0.98,0.21,A5V,17.591530209005406,0.0
8.55,1.1,1.08,0.149,A2IV/V,13.756963425791128,0.0
9.19,6.33,1.32,0.283,A8V,18.197018550086774,0.0
8.67,5.96,0.91,0.222,A7V,17.54623129870118,0.0
8.15,5.25,0.64,0.117,A2V,16.750796517029784,0.0
8.31,19.82,0.73,0.658,G3V,19.795518250746284,0.0
7.39,6.71,0.83,0.977,K0/K1III,16.52361260084496,1.0
7.91,5.03,0.94,0.993,G8III/IV,16.417839925279637,1.0
8.18,3.33,0.76,0.952,K0/1III (+G),15.792221167531599,1.0
6.62,6.88,0.75,0.051,A2V,15.807942191177556,0.0
6.52,3.48,0.7,-0.166,B5II/III,14.227896219732905,1.0
5.36,5.08,0.61,1.344,K2II-III,13.889318561419596,1.0
9.09,1.63,0.86,1.145,K1III:,15.150938022019789,1.0
8.04,1.72,1.0,0.926,G6III/IV,14.217642234537744,1.0
8.71,7.91,1.0,0.949,K0III/IV,18.200882417488383,1.0
9.41,2.46,1.45,0.174,A1V,16.364675535516895,0.0
7.28,7.12,0.71,0.025,A0V,16.54239996818428,0.0
8.31,4.47,1.19,0.297,A9III,16.56153761565968,1.0
9.04,11.76,0.81,0.556,F8V,19.3920366087006,0.0
8.53,5.38,0.76,0.409,F2IV,17.183911378331945,0.0
8.94,2.06,0.96,1.591,K2/K3III:,15.509336101845767,1.0
8.67,2.05,1.13,0.01,B9V,15.228769305278771,0.0
7.41,3.34,1.14,-0.066,B8III,15.028732334057823,1.0
6.43,55.2,0.96,0.663,G8V,20.139695388645997,0.0
7.36,6.94,0.97,1.02,G7III,16.566797352274275,1.0
7.99,6.78,0.8,0.198,A3V,17.146148469335316,0.0
8.75,2.13,0.85,0.397,F3IV,15.391898017193688,0.0
9.53,7.28,0.87,0.746,G6V,18.840656896565186,0.0
8.87,0.35,1.33,1.39,K1/K2III,11.590340221751378,1.0
6.85,4.26,0.84,1.001,G8III,14.997047995513594,1.0
8.03,4.69,0.88,-0.065,B9III/IV,16.385864213575417,1.0
9.5,7.7,1.0,0.685,G5V,18.932453625862408,0.0
6.58,3.55,1.03,-0.085,B8Vnn,14.331141765275472,0.0
6.52,4.25,0.72,-0.105,B7V,14.661944650251558,0.0
8.93,1.2,0.89,1.111,K0III,14.325906230238125,1.0
9.23,4.24,1.31,1.152,K0III,17.366829282963664,1.0
8.98,18.2,2.18,0.817,G8/K0IV/V,20.280356939925376,0.0
8.05,5.08,0.64,0.181,A5V,16.579318561419598,0.0
6.77,6.09,0.51,1.161,K1/K2III,15.693086463164377,1.0
8.11,3.76,1.05,0.382,A9V,15.985939224638305,0.0
7.28,8.2,0.57,0.465,F5IV,16.849069261918583,0.0
8.46,6.5,1.05,0.063,B9.5V,17.52456678321428,0.0
6.85,9.17,0.55,0.072,A2/A3V,16.661846678350106,0.0
8.09,1.29,0.94,-0.036,B2Ve,13.642948551496245,0.0
9.08,3.34,1.14,0.1,A0V,16.698732334057823,0.0
6.37,59.9,0.75,0.713,G5V,20.25713411194656,0.0
6.07,8.08,0.76,1.051,K1III,15.607056803872931,1.0
8.1,4.06,0.73,1.135,K0III,16.14263016788597,1.0
5.83,10.36,0.73,0.91,G8III,15.906798777046072,1.0
7.67,3.93,0.64,0.994,G6/G8III/IV,15.641962751877132,1.0
9.48,1.75,0.95,0.33,F5V,15.695190243431473,0.0
9.02,1.44,0.86,1.113,K0III,14.811812460476247,1.0
9.28,3.44,0.86,0.215,A1IIIm...,16.96279221285765,1.0
8.68,5.16,1.38,0.491,F5V,17.243248508136055,0.0
7.7,6.76,0.65,0.457,F5V,16.84973347970818,0.0
9.25,6.76,1.44,0.1,G1V,18.399733479708182,0.0
8.81,16.4,0.8,0.712,G6V,19.88421924023849,0.0
8.41,2.85,0.71,1.032,K0III,15.684224300042551,1.0
7.96,4.2,1.45,-0.1,A5V,16.0762464519895,0.0
8.82,15.64,0.78,0.58,G0V,19.791183743619147,0.0
7.91,13.36,1.85,0.65,G2V,18.539032290697634,0.0
7.27,2.52,0.94,0.024,A1V,14.277002703907721,0.0
8.34,5.68,1.5,0.035,A0V,17.11174167855509,0.0
7.56,1.93,0.87,1.64,M2III,13.987786545038869,1.0
9.0,7.34,1.45,0.553,F7/F8V,18.328480299580352,0.0
8.39,6.35,0.71,0.465,F5V,17.40386862645988,0.0
6.98,6.09,0.8,-0.013,A0V,15.903086463164378,0.0
8.81,7.18,1.26,0.649,F8/G0V,18.090622221211504,0.0
8.11,2.33,0.97,1.19,K1III,14.946779605130093,1.0
8.79,3.5,0.75,0.377,F0IV,16.510340221751377,0.0
5.83,5.28,0.83,-0.155,B5V,14.443169612669061,0.0
9.54,7.43,1.01,0.525,F8/G0V,18.894944068802875,0.0
8.56,3.97,1.11,0.272,A9V,16.553952533815576,0.0
6.61,4.39,0.48,-0.038,B8V,14.822322601210608,0.0
7.02,1.11,1.82,-0.022,B8V,12.246614893933288,0.0
6.66,6.2,1.01,0.942,G8III,15.62195844749127,1.0
8.27,2.38,0.81,1.229,K2III,15.15288478528256,1.0
8.96,6.08,1.09,0.977,G8V,17.879517896363673,0.0
8.7,20.54,1.08,0.835,G8V,20.263002196306296,0.0
8.22,3.04,1.11,-0.034,A0IV/V,15.63436791804377,0.0
8.55,4.89,0.69,0.15,A2IV,16.9965442956181,0.0
9.35,8.94,0.81,0.741,G5V,19.106687593979586,0.0
5.2,47.33,0.86,0.43,F6V,18.575682522339967,0.0
3.99,5.06,0.9,1.319,K3III,12.510752584198997,1.0
8.32,12.72,0.69,0.554,F8V,18.842435556561973,0.0
3.31,9.34,1.99,1.6,M3III,13.161734381150467,1.0
8.17,15.67,1.16,0.589,F8V,19.14534498234295,0.0
7.31,2.01,0.58,1.66,M1/M2III,13.825980287102443,1.0
9.0,3.6,0.79,1.034,G6/G8III,16.78151250383644,1.0
7.72,4.79,0.79,1.004,G7III,16.121677567072815,1.0
7.31,9.04,0.78,0.025,A1V,17.090842152376815,0.0
6.62,31.95,0.51,0.562,F8V,19.142354312472094,0.0
5.88,3.51,0.63,1.322,K2III,13.60653558232912,1.0
5.91,2.38,0.72,-0.231,B1V,12.79288478528256,0.0
8.32,1.85,0.71,1.321,K2III,14.655858642015069,1.0
7.94,8.3,0.62,0.245,A6V,17.53539046188037,0.0
8.78,2.19,1.78,0.341,B0IV,15.482220574200591,0.0
5.99,15.66,0.71,1.058,K1III,16.963958788609624,1.0
9.01,2.42,0.85,0.851,G8III,15.929076829902156,1.0
7.72,3.12,0.62,0.931,G8III,15.190772970092215,1.0
4.32,19.31,0.83,1.021,G8IIIvar,15.748911368896975,1.0
8.3,15.2,0.78,0.482,F5V,19.209217939723864,0.0
8.89,2.98,0.8,1.34,K3/K4III,16.261081320381276,1.0
9.06,0.63,1.24,-0.045,B4:Vn,13.05670274726791,0.0
5.34,6.8,0.93,-0.101,B7V,14.502544563531181,0.0
6.09,4.27,0.77,-0.081,B9III,14.242139375125118,1.0
8.37,0.01,1.31,1.443,M2III:,3.369999999999999,1.0
9.48,3.33,0.8,0.322,F2IV,17.092221167531598,0.0
8.18,2.83,0.81,0.041,A0V,15.438932177621451,0.0
5.99,15.03,0.76,0.097,A5IVs,16.87479490293454,0.0
8.63,3.67,0.82,1.267,K2III,16.453330321260445,1.0
5.62,28.02,0.76,0.506,F6V,17.85734065474878,0.0
7.97,1.93,0.83,-0.044,B9V,14.39778654503887,0.0
8.96,5.47,1.57,0.46,F3V,17.649936631667156,0.0
8.2,10.07,0.92,0.539,F6/F7V,18.21514735276809,0.0
8.88,15.87,0.72,0.63,G2V,19.882884633774243,0.0
6.86,20.7,2.44,0.44,F4V:,18.43985172728459,0.0
7.32,3.02,0.58,-0.089,B9IV,14.720034714785752,0.0
6.07,4.39,0.8,-0.124,B6V,14.282322601210607,0.0
8.29,2.45,0.65,0.052,A0V,15.235830421822662,0.0
5.37,6.54,0.7,1.339,K3III,14.447888741621338,1.0
6.61,1.79,1.25,1.586,K2III,12.874265154899467,1.0
8.79,0.69,2.36,0.103,A1V,12.984245453686276,0.0
7.59,2.64,1.12,1.188,K1III,14.698019634349155,1.0
5.0,8.7,0.9,-0.078,B9V,14.697596263093093,0.0
5.44,2.33,0.88,0.015,B9II-III,12.276779605130095,1.0
6.63,2.85,0.88,-0.164,B3IV,13.90422430004255,0.0
9.48,4.95,0.88,0.43,F3/F5V,17.953025994667847,0.0
8.9,3.65,0.86,1.053,K0III,16.711464322282374,1.0
6.37,10.76,0.77,0.443,F5IV:,16.52906135665185,0.0
7.36,4.1,0.9,0.879,G8III,15.423919283598678,1.0
8.71,3.13,0.75,0.997,G8/K0III:,16.187721687732243,1.0
6.84,12.04,0.96,1.22,K3III-IV,17.243132434609027,1.0
8.57,1.37,0.68,-0.1,B6V,14.253602835782033,0.0
9.19,10.12,1.2,0.618,G2/G3V,19.2159025625189,0.0
6.67,4.93,0.74,1.545,K4III,15.13423459638615,1.0
8.94,2.04,0.93,1.078,G8III:,15.488150837129494,1.0
6.59,5.37,0.78,1.004,G8II-III,15.239871428497777,1.0
8.9,6.59,0.77,0.467,F5V,17.994427072970048,0.0
9.77,5.59,2.07,0.457,F0/F2V,18.507059039432114,0.0
5.97,3.9,0.72,-0.167,B2/B3V,13.925323035132497,0.0
8.82,10.76,0.84,0.665,G3V,18.97906135665185,0.0
7.86,3.07,0.8,1.393,K4III,15.295691877385934,1.0
7.76,16.1,0.66,0.46,F3/F5V,18.794129380159248,0.0
9.24,0.64,1.21,0.25,A7V,13.270899869919436,0.0
8.79,2.04,1.23,0.026,B9V,15.338150837129493,0.0
8.94,2.24,1.42,0.943,G8IV,15.691240091670814,0.0
6.44,27.5,0.5,0.593,G1V,18.636663469151316,0.0
6.09,7.48,0.84,0.897,G8III,15.459507989322308,1.0
6.63,2.65,0.74,-0.058,B6V,13.74622936968404,0.0
9.39,17.05,0.92,0.77,G8V,20.54862191664258,0.0
8.76,1.07,1.41,1.094,K2III,13.906918888426048,1.0
10.02,4.73,1.66,0.462,F3V,18.394305703689056,0.0
5.04,51.0,0.9,0.431,F5IV-V,18.57785088048968,0.0
7.19,5.55,0.63,1.129,K0III,15.911464915613383,1.0
8.65,26.99,0.83,0.927,K1IV,20.80601442278258,0.0
8.43,0.41,1.28,1.495,K3III,11.493919283598677,1.0
6.0,8.35,0.53,0.163,A2Vm...,15.60843237741801,0.0
8.51,1.13,0.97,-0.104,B8V,13.7753922174171,0.0
6.76,3.19,1.15,0.399,F2III/IV,14.278953415285905,1.0
7.49,3.92,0.61,1.256,K1III,15.456430335102286,1.0
7.34,6.6,0.57,-0.009,A0V,16.437719677709346,0.0
9.07,2.51,0.89,0.874,G8III,16.06836860740519,1.0
8.58,2.85,1.0,1.422,K2III/IV,15.854224300042551,1.0
7.67,2.55,0.62,1.353,K3III,14.702700902169775,1.0
8.42,4.05,0.88,0.195,A4V,16.45727511607334,0.0
7.89,3.72,1.17,1.21,K1III,15.742714699409486,1.0
8.19,6.05,0.76,0.11,A2V,17.098776873262345,0.0
9.05,24.87,1.15,0.79,G9V,21.02837892634968,0.0
8.44,2.48,0.8,0.983,K0III/IV,15.412258404131082,1.0
8.85,9.14,1.28,0.558,F8IV,18.654730978669157,0.0
7.48,18.86,0.92,0.605,G0V,18.857708442006548,0.0
8.47,12.68,1.63,0.54,F8V,18.985596267728567,0.0
8.19,14.21,0.92,0.491,F6V,18.952970389637347,0.0
8.7,2.34,1.18,1.528,K4III,15.546079287050713,1.0
6.56,2.65,0.81,-0.116,B7III,13.67622936968404,1.0
9.51,4.18,1.81,1.455,K7III,17.615881408875175,1.0
5.54,10.78,0.51,1.129,K2III,15.703093804253598,1.0
6.05,25.06,0.68,0.576,F8/G0V,18.044905333290657,0.0
7.62,4.62,0.62,0.06,A0V,15.943209877780628,0.0
7.89,7.93,0.7,0.3,A8/A9V,17.386365936588017,0.0
5.39,12.85,0.8,0.106,A2V,15.934515638336567,0.0
7.03,9.34,0.72,0.013,A0V,16.881734381150466,0.0
5.88,16.1,0.53,0.139,A2V,16.91412938015925,0.0
6.73,5.61,0.78,0.93,G8III,15.474814306280807,1.0
6.87,5.36,0.69,0.924,G8III/IV,15.51582394846385,1.0
8.92,6.64,0.78,0.523,F5IV/V,18.030840396840087,0.0
5.7,51.76,0.78,0.61,G0.5Vb,19.26997133830322,0.0
9.32,1.97,1.72,0.088,B9.5V,15.792331130807964,0.0
8.2,5.83,0.93,0.966,G8III/IV,17.028342773795067,1.0
8.77,3.32,1.05,0.171,A3V,16.37569041852018,0.0
8.97,5.64,1.71,0.713,G0III,17.726395519916714,1.0
6.59,3.09,0.94,-0.036,A0V,14.039792397124174,0.0
6.68,20.83,0.9,0.451,F6V,18.27344634973873,0.0
6.53,13.86,0.78,0.263,F0V,17.23881615137894,0.0
7.49,15.25,0.97,0.468,F5V,18.40634921841402,0.0
8.69,8.58,0.76,1.006,K1III,18.35743643924353,1.0
7.13,4.4,0.53,0.972,G8III,15.347263382430938,1.0
8.0,4.9,0.7,0.033,A0V,16.45098040014257,0.0
5.15,5.75,0.71,1.293,K1III,13.948339223448153,1.0
6.72,1.9,0.67,-0.121,B5IV/V,13.113768004764143,0.0
7.73,2.83,0.61,0.258,A9IIIm...,14.988932177621452,1.0
7.53,5.03,0.57,-0.069,B9V,16.037839925279638,0.0
8.89,2.48,0.85,1.125,K1III,15.862258404131083,1.0
7.52,2.47,1.09,-0.048,A0V,14.483484766298329,0.0
7.45,4.61,0.75,1.16,K0III,15.768504626948243,1.0
6.4,3.8,0.6,1.456,K2/K3III,14.298917983084051,1.0
8.81,1.51,0.79,1.045,G8III/IV,14.704884736465848,1.0
8.3,9.36,0.68,0.436,F3/F5V,18.156379243690527,0.0
5.01,5.53,0.73,1.843,M3III,13.723625656523492,1.0
8.53,1.94,1.05,0.05,A3V,14.96900864965113,0.0
9.27,8.09,1.21,0.583,G2/G3Vp...,18.809742608061363,0.0
8.91,3.26,0.78,1.211,K2III,16.476088000339693,1.0
8.69,3.8,1.07,-0.031,B9V,16.588917983084052,0.0
6.12,5.12,1.01,0.035,A3V,14.666349804879154,0.0
8.23,9.93,0.66,0.399,F2IV,18.214746242476906,0.0
8.55,13.18,0.9,0.483,F5V,19.149577051289956,0.0
8.06,3.7,0.61,0.919,G6/G8III,15.901008620334975,1.0
5.51,3.28,0.6,-0.163,B2/B3V,13.089369218558396,0.0
7.76,4.67,0.61,0.065,A0V,16.106584402830563,0.0
8.5,2.83,0.77,1.315,K2III,15.758932177621451,1.0
6.33,9.43,0.76,1.113,K2III,16.202558463686643,1.0
8.88,1.71,1.46,1.394,K3III,15.04498055196077,1.0
8.85,3.13,0.82,1.07,K1III,16.327721687732243,1.0
7.6,14.92,0.59,0.45,F3V,18.468844115683254,0.0
